(9, {'state': [1045, 0, 20, 31, 16, 1, 2, 2, 2, 784], 'reward': 8.671137658463456, 'action': None, 'done': True})

[0, 0, 0, 1, 1, 0, 2, 3, 3, 9]
(0, {'state': [0, 0, 12, 15, 12, 1, 0, 0, 0, 0], 'reward': -1, 'action': 0, 'done': False})
(0, {'state': [0, 0, 13, 15, 12, 1, 0, 0, 0, 45], 'reward': -1, 'action': 0, 'done': False})
(0, {'state': [5, 0, 14, 15, 13, 1, 0, 0, 0, 74], 'reward': -1, 'action': 0, 'done': False})
(1, {'state': [0, 0, 14, 15, 13, 1, 0, 0, 0, 121], 'reward': -1, 'action': 1, 'done': False})
(1, {'state': [0, 0, 15, 15, 14, 1, 1, 0, 0, 168], 'reward': -1, 'action': 1, 'done': False})
(0, {'state': [90, 0, 15, 23, 15, 1, 1, 0, 0, 231], 'reward': -1, 'action': 0, 'done': False})
(2, {'state': [0, 0, 16, 23, 15, 1, 1, 0, 0, 253], 'reward': -1, 'action': 2, 'done': False})
(3, {'state': [605, 0, 16, 31, 16, 1, 2, 1, 0, 524], 'reward': -1, 'action': 3, 'done': False})
(3, {'state': [505, 0, 18, 31, 16, 1, 2, 1, 0, 525], 'reward': -1, 'action': 3, 'done': False})
(9, {'state': [1170, 0, 20, 31, 16, 1, 2, 1, 2, 773], 'reward': 9.67940081407284, 'action': None, 'done': True})

[0, 0, 0, 1, 1, 2, 0, 2, 3, 3, 9]
(0, {'state': [0, 0, 12, 15, 12, 1, 0, 0, 0, 0], 'reward': -1, 'action': 0, 'done': False})
(0, {'state': [0, 0, 13, 15, 12, 1, 0, 0, 0, 45], 'reward': -1, 'action': 0, 'done': False})
(0, {'state': [0, 0, 14, 15, 13, 1, 0, 0, 0, 72], 'reward': -1, 'action': 0, 'done': False})
(1, {'state': [0, 0, 14, 15, 13, 1, 0, 0, 0, 121], 'reward': -1, 'action': 1, 'done': False})
(1, {'state': [0, 0, 15, 15, 14, 1, 1, 0, 0, 168], 'reward': -1, 'action': 1, 'done': False})
(2, {'state': [0, 0, 15, 23, 15, 1, 1, 0, 0, 236], 'reward': -1, 'action': 2, 'done': False})
(0, {'state': [0, 0, 15, 23, 15, 1, 2, 1, 0, 253], 'reward': -1, 'action': 0, 'done': False})
(2, {'state': [5, 0, 16, 31, 15, 1, 2, 1, 0, 320], 'reward': -1, 'action': 2, 'done': False})
(3, {'state': [400, 0, 16, 31, 16, 1, 2, 2, 0, 509], 'reward': -1, 'action': 3, 'done': False})
(3, {'state': [300, 0, 18, 31, 16, 1, 2, 2, 0, 510], 'reward': -1, 'action': 3, 'done': False})
(9, {'state': [785, 0, 20, 31, 16, 1, 2, 2, 2, 693], 'reward': 21.541902675002422, 'action': None, 'done': True})

[0, 0, 0, 1, 1, 2, 0, 3, 2, 3, 9]
